movie_name,Country,Release Date,IMDB Rating,Metascore,TomatoMeter,production_budget,domestic_box_office,international_box_office,rating,genre,Total Box Office,ROI
Madea's Family Reunion,USA,24 Feb 2006,5.2,45,26%,10000000,63257940,62581,PG-13,Comedy,63320521,633.21%
Krrish,India,23 Jun 2006,6.4,68,88%,10000000,1430721,31000000,Not Rated,Action,32430721,324.31%
End of the Spear,USA,20 Jan 2006,6.8,45,41%,10000000,11748661,175380,PG-13,Drama,11924041,119.24%
A Prairie Home Companion,USA,09 Jun 2006,6.7,75,81%,10000000,20342852,6373339,PG-13,Comedy,26716191,267.16%
Saw III,"Canada, USA",27 Oct 2006,6.2,48,28%,10000000,80238724,83638091,R,Horror,163876815,1638.77%
Employee of the Month,USA,06 Oct 2006,5.5,36,20%,10000000,28444855,9920000,PG-13,Comedy,38364855,383.65%
Edmond,USA,24 Nov 2006,6.2,61,47%,10000000,131719,110000,R,Black Comedy,241719,2.42%
Peaceful Warrior,"USA, Germany",23 Jun 2006,7.3,40,25%,10000000,2893666,366513,PG-13,Drama,3260179,32.60%
Turistas,USA,01 Dec 2006,5.4,36,18%,10000000,7027762,7293308,R,Thriller/Suspense,14321070,143.21%
Kabhi Alvida Naa Kehna,India,11 Aug 2006,6.1,N/A,58%,10750000,3275443,29300000,Not Rated,Drama,32575443,303.03%
Copying Beethoven,"USA, Germany, Hungary",08 Mar 2007,6.8,59,28%,11000000,355968,6230356,PG-13,Drama,6586324,59.88%
For Your Consideration,USA,22 Nov 2006,6.3,68,52%,12000000,5549923,0,PG-13,Comedy,5549923,46.25%
Crank,USA,01 Sep 2006,6.9,57,61%,12000000,27838408,16086515,R,Action,43924923,366.04%
Fateless,"Hungary, Germany, UK, Israel, France, USA",10 Feb 2005,6.9,87,94%,12000000,196857,0,R,Drama,196857,1.64%
Step Up,USA,11 Aug 2006,6.5,48,21%,12000000,65328121,45661036,PG-13,Drama,110989157,924.91%
Find Me Guilty,"Germany, USA",17 Mar 2006,7.0,65,62%,13000000,1173673,1724552,R,Drama,2898225,22.29%
Infamous,USA,13 Oct 2006,7.0,68,74%,13000000,1151330,1462387,R,Drama,2613717,20.11%
Letters from Iwo Jima,"USA, Japan",02 Feb 2007,7.9,89,91%,13000000,13756082,54111916,R,Drama,67867998,522.06%
Little Children,USA,09 Feb 2007,7.5,75,80%,14000000,5463019,8658158,R,Drama,14121177,100.87%
Catch a Fire,"France, UK, South Africa, USA",27 Oct 2006,6.7,62,75%,14000000,4299773,1482425,PG-13,Thriller/Suspense,5782198,41.30%
Bobby,USA,23 Nov 2006,7.0,54,47%,14000000,11242801,9355005,R,Drama,20597806,147.13%
An American Haunting,"UK, Canada, Romania, USA",05 May 2006,5.1,38,14%,14000000,16298046,14145231,PG-13,Horror,30443277,217.45%
Manderlay,"Denmark, Sweden, Netherlands, France, Germany, UK, Italy, USA",03 Jun 2005,7.3,46,50%,14200000,74205,469101,Not Rated,Drama,543306,3.83%
Idlewild,USA,25 Aug 2006,6.3,55,47%,15000000,12669914,0,R,Musical,12669914,84.47%
The Marine,USA,13 Oct 2006,4.7,45,20%,15000000,18844784,3320824,PG-13,Action,22165608,147.77%
The Queen,"UK, USA, France, Italy",17 Nov 2006,7.3,91,96%,15000000,56441711,72444162,PG-13,Drama,128885873,859.24%
Flicka,"USA, UK",20 Oct 2006,6.1,57,53%,15000000,21000147,896220,PG,Drama,21896367,145.98%
Hoot,USA,05 May 2006,5.5,46,26%,15000000,8117637,107361,PG,Adventure,8224998,54.83%
When a Stranger Calls,USA,03 Feb 2006,5.1,27,9%,15000000,47860214,19355221,PG-13,Horror,67215435,448.10%
Slither,"Canada, USA",31 Mar 2006,6.5,69,86%,15250000,7802450,5127893,R,Horror,12930343,84.79%
Pan's Labyrinth,"Mexico, Spain",19 Jan 2007,8.2,98,95%,16000000,37634615,49406954,R,Horror,87041569,544.01%
The Texas Chainsaw Massacre: The Beginning,USA,06 Oct 2006,5.8,30,13%,16000000,39517763,11000000,R,Horror,50517763,315.74%
The Illusionist,"USA, Czech Republic",01 Sep 2006,7.6,68,74%,16500000,39868642,43923420,PG-13,Drama,83792062,507.83%
The Illusionist,"USA, Czech Republic",01 Sep 2006,7.6,68,74%,17000000,2231474,6378475,PG,Adventure,8609949,50.65%
The Illusionist,"USA, Czech Republic",01 Sep 2006,5.0,50,71%,16500000,39868642,43923420,PG-13,Drama,83792062,507.83%
The Illusionist,"USA, Czech Republic",01 Sep 2006,5.0,50,71%,17000000,2231474,6378475,PG,Adventure,8609949,50.65%
The Hills Have Eyes,"USA, France, Romania",10 Mar 2006,6.4,52,52%,17000000,41778863,28576950,R,Horror,70355813,413.86%
American Dreamz,USA,21 Apr 2006,5.4,45,38%,17000000,7314027,9196944,PG-13,Black Comedy,16510971,97.12%
Larry the Cable Guy: Health Inspector,USA,24 Mar 2006,3.3,21,5%,17000000,15680099,0,PG-13,Comedy,15680099,92.24%
ATL,USA,31 Mar 2006,6.1,63,62%,17000000,21170563,0,PG-13,Comedy,21170563,124.53%
Running Scared,"Germany, USA",24 Feb 2006,7.4,41,41%,17000000,6855137,2873951,R,Action,9729088,57.23%
Beerfest,USA,25 Aug 2006,6.3,46,40%,17500000,19185184,974132,R,Comedy,20159316,115.20%
United 93,"USA, UK, France",28 Apr 2006,7.5,90,90%,18000000,31567134,46067901,R,Drama,77635035,431.31%
Renaissance,"France, Luxembourg, UK",15 Mar 2006,6.7,57,49%,18000000,70644,2330769,R,Action,2401413,13.34%
Days of Glory,"Algeria, France, Morocco, Belgium",27 Sep 2006,7.0,82,83%,18900000,320700,25742872,Not Rated,Drama,26063572,137.90%
The Painted Veil,"China, USA, Canada",19 Jan 2007,7.5,69,74%,19400000,8060487,7058308,PG-13,Drama,15118795,77.93%
Doogal,"USA, UK, France",24 Feb 2006,2.8,23,8%,20000000,7578946,20479706,G,Adventure,28058652,140.29%
The Proposition,"Australia, UK",09 Jun 2006,7.3,73,85%,20000000,1903434,3410174,R,Drama,5313608,26.57%
Stay Alive,USA,24 Mar 2006,5.1,24,10%,20000000,23086480,101026,PG-13,Horror,23187506,115.94%
One Night with the King,USA,13 Oct 2006,6.1,38,19%,20000000,13395961,329071,PG,Drama,13725032,68.63%
School for Scoundrels,USA,29 Sep 2006,5.9,44,26%,20000000,17807569,0,PG-13,Comedy,17807569,89.04%
Date Movie,"USA, Switzerland",17 Feb 2006,2.8,11,7%,20000000,48548426,36597739,PG-13,Comedy,85146165,425.73%
The Covenant,"USA, Canada",08 Sep 2006,5.3,19,4%,20000000,23364784,14800000,PG-13,Thriller/Suspense,38164784,190.82%
Stick It,"Germany, USA",28 Apr 2006,6.4,53,31%,20000000,26910736,3488978,PG-13,Comedy,30399714,152.00%
Man of the Year,USA,13 Oct 2006,6.2,39,21%,20000000,37442180,3900000,PG-13,Comedy,41342180,206.71%
A Scanner Darkly,USA,28 Jul 2006,7.1,73,68%,20000000,5501616,1903468,R,Thriller/Suspense,7405084,37.03%
Babel,"USA, Mexico, France, Morocco, Japan",10 Nov 2006,7.4,69,69%,20000000,34302837,97818375,R,Drama,132121212,660.61%
The Grudge 2,"USA, Japan",13 Oct 2006,5.1,33,11%,20000000,39143839,31600000,PG-13,Horror,70743839,353.72%
Pulse,"USA, Romania, South Africa",11 Aug 2006,4.8,27,11%,20500000,20264436,9976999,R,Horror,30241435,147.52%
Rocky Balboa,USA,20 Dec 2006,7.1,63,77%,24000000,70269899,85959151,PG,Drama,156229050,650.95%
Unaccompanied Minors,USA,08 Dec 2006,5.3,43,29%,25000000,16655224,5315607,PG,Adventure,21970831,87.88%
BloodRayne,"Germany, USA",06 Jan 2006,2.9,18,4%,25000000,2405420,1306213,R,Action,3711633,14.85%
The Omen,"UK, USA",25 Jun 1976,7.5,62,86%,25000000,54607383,64688201,R,Horror,119295584,477.18%
She's the Man,"USA, Canada",17 Mar 2006,6.3,45,43%,25000000,33889159,21390449,PG-13,Romantic Comedy,55279608,221.12%
Nanny McPhee,"USA, UK, France",27 Jan 2006,6.5,59,73%,25000000,47279279,81466299,PG,Adventure,128745578,514.98%
Final Destination 3,USA,10 Feb 2006,5.8,41,43%,25000000,54098051,58700000,R,Horror,112798051,451.19%
Lucky Number Slevin,"Germany, UK, USA, Canada",07 Apr 2006,7.7,53,53/100,27000000,22495466,33000000,R,Thriller/Suspense,55495466,205.54%
Notes on a Scandal,UK,26 Jan 2007,7.4,73,87%,27500000,17510118,33068293,R,Drama,50578411,183.92%
Just My Luck,USA,12 May 2006,5.4,29,14%,28000000,17326650,20833255,PG-13,Romantic Comedy,38159905,136.29%
Miss Potter,"UK, USA, Isle Of Man",09 Mar 2007,6.9,57,67%,30000000,3005605,32885652,PG,Drama,35891257,119.64%
Gridiron Gang,USA,15 Sep 2006,6.9,52,42%,30000000,38432823,3025011,PG-13,Drama,41457834,138.19%
Stranger Than Fiction,"USA, UK",10 Nov 2006,7.5,67,73%,30000000,40435190,13137632,PG-13,Comedy,53572822,178.58%
Ultraviolet,USA,03 Mar 2006,4.4,18,8%,30000000,18522064,12440048,PG-13,Action,30962112,103.21%
My Super Ex-Girlfriend,USA,21 Jul 2006,5.1,50,40%,30000000,22530295,38242561,PG-13,Comedy,60772856,202.58%
The Promise,"Spain, USA",21 Apr 2017,6.0,49,51%,30000000,669625,35200309,PG-13,Action,35869934,119.57%
The Promise,"Spain, USA",21 Apr 2017,6.0,49,51%,90000000,8224288,2327129,PG-13,Drama,10551417,11.72%
The Promise,"Spain, USA",21 Apr 2017,7.1,60,93%,30000000,669625,35200309,PG-13,Action,35869934,119.57%
The Promise,"Spain, USA",21 Apr 2017,7.1,60,93%,90000000,8224288,2327129,PG-13,Drama,10551417,11.72%
Take the Lead,USA,07 Apr 2006,6.6,55,44%,30000000,34742066,30648427,PG-13,Drama,65390493,217.97%
Glory Road,USA,13 Jan 2006,7.2,58,100%,30000000,42647449,151611,PG,Drama,42799060,142.66%
Nacho Libre,"USA, Mexico",16 Jun 2006,5.8,52,40%,32000000,80197993,19098469,PG,Comedy,99296462,310.30%
The Good German,USA,19 Jan 2007,6.0,49,34%,32000000,1308696,5369337,R,Drama,6678033,20.87%
Snakes on a Plane,"USA, Germany",18 Aug 2006,5.4,58,69%,33000000,34020814,28000000,R,Thriller/Suspense,62020814,187.94%
Goal! The Dream Begins,"USA, UK",12 May 2006,6.7,53,42%,33000000,4283255,23327618,PG,Drama,27610873,83.67%
The Fountain,"Canada, USA",22 Nov 2006,7.2,51,52%,35000000,10144010,5317628,PG-13,Drama,15461638,44.18%
Bandidas,"France, Mexico, USA",18 Jan 2006,5.7,N/A,53%,35000000,0,19282590,PG-13,Western,19282590,55.09%
The Nativity Story,USA,01 Dec 2006,6.8,52,37%,35000000,37629831,8679813,PG,Drama,46309644,132.31%
The Benchwarmers,USA,07 Apr 2006,5.5,25,13%,35000000,59843754,5219972,PG-13,Comedy,65063726,185.90%
The Devil Wears Prada,"USA, France",30 Jun 2006,6.9,62,75%,35000000,124740460,201332695,PG-13,Comedy,326073155,931.64%
Zoom,USA,11 Aug 2006,4.4,26,4%,35000000,11989328,516860,PG,Adventure,12506188,35.73%
A Good Year,"USA, UK",10 Nov 2006,7.0,47,25%,35000000,7459300,34604805,PG-13,Drama,42064105,120.18%
Marie Antoinette,"USA, France, Japan",20 Oct 2006,6.4,65,57%,40000000,15962471,44900000,PG-13,Drama,60862471,152.16%
Big Momma's House 2,USA,27 Jan 2006,4.7,34,5%,40000000,70165972,66881404,PG-13,Comedy,137047376,342.62%
Stormbreaker,"UK, USA, Germany",13 Oct 2006,5.1,42,35%,40000000,659210,20063240,PG,Action,20722450,51.81%
Eight Below,USA,17 Feb 2006,7.3,64,72%,40000000,81612565,38843429,PG,Adventure,120455994,301.14%
The Lake House,USA,16 Jun 2006,6.8,52,35%,40000000,52330111,62500000,PG,Drama,114830111,287.08%
Scary Movie 4,USA,14 Apr 2006,5.1,40,35%,40000000,90710620,88000000,PG-13,Comedy,178710620,446.78%
Apocalypto,"USA, Mexico, UK",08 Dec 2006,7.8,68,66%,40000000,50866635,70165637,R,Action,121032272,302.58%
Invincible,USA,25 Aug 2006,7.1,63,72%,40000000,57806952,694175,PG,Drama,58501127,146.25%
The Prestige,"UK, USA",20 Oct 2006,8.5,66,76%,40000000,53089891,51317475,PG-13,Thriller/Suspense,104407366,261.02%
Music and Lyrics,USA,14 Feb 2007,6.5,59,63%,40000000,50572589,95624296,PG-13,Romantic Comedy,146196885,365.49%
Underworld: Evolution,"USA, Canada",20 Jan 2006,6.7,36,17%,45000000,62318875,51098887,R,Action,113417762,252.04%
The Ant Bully,USA,28 Jul 2006,5.8,59,62%,45000000,28142535,21468363,PG,Adventure,49610898,110.25%
Curse of the Golden Flower,"China, Hong Kong",12 Jan 2007,7.0,70,65%,45000000,6566773,70337656,R,Action,76904429,170.90%
Last Holiday,USA,13 Jan 2006,6.5,52,56%,45000000,38399961,4943286,PG-13,Comedy,43343247,96.32%
16 Blocks,"USA, Germany",03 Mar 2006,6.6,63,56%,45000000,36895141,28700000,PG-13,Action,65595141,145.77%
Happily N'Ever After,"USA, Germany, Canada, UK",05 Jan 2007,4.5,28,4%,47000000,15849032,22074786,PG,Adventure,37923818,80.69%
Failure to Launch,USA,10 Mar 2006,5.6,47,24%,50000000,88715192,39687709,PG-13,Romantic Comedy,128402901,256.81%
Silent Hill,"Canada, France, Japan, Australia, USA",21 Apr 2006,6.5,31,31%,50000000,46982632,47721595,R,Horror,94704227,189.41%
V for Vendetta,"USA, UK, Germany",17 Mar 2006,8.2,62,73%,50000000,70511035,59703127,R,Action,130214162,260.43%
Inside Man,USA,24 Mar 2006,7.6,76,86%,50000000,88634237,97164028,R,Thriller/Suspense,185798265,371.60%
Firewall,USA,10 Feb 2006,5.8,45,18%,50000000,48751189,34000000,PG-13,Thriller/Suspense,82751189,165.50%
Deck the Halls,USA,22 Nov 2006,5.0,28,6%,51000000,35093569,11722238,PG,Comedy,46815807,91.80%
Barnyard,"USA, Germany, Netherlands",04 Aug 2006,5.6,42,22%,51000000,72779000,45804844,PG,Adventure,118583844,232.52%
